"LSOA11CD","class","total_length"
"W01000450","Unclassified",121.608
"W01000451","A Road",15.272
"W01000451","Not Classified",25.358
"W01000451","Unclassified",37.369
"W01000452","B Road",15.975
"W01000452","Unclassified",128.121
"W01000452","Not Classified",242.635
"W01000452","A Road",20.694
"W01000453","Not Classified",74.66
"W01000453","A Road",11.089
"W01000453","Unclassified",78.09
"W01000454","A Road",2.246
"W01000454","Not Classified",1.341
"W01000454","Unclassified",4.528
"W01000455","Not Classified",2.401
"W01000455","Unclassified",8.661
"W01000455","A Road",2.169
"W01000456","A Road",1.611
"W01000456","Not Classified",8.156
"W01000456","Unclassified",13.812
"W01000457","Not Classified",24.848
"W01000457","B Road",11.407
"W01000457","Unclassified",40.34
"W01000457","A Road",4.28
"W01000458","Unclassified",23.356
"W01000458","B Road",5.535
"W01000458","A Road",1.846
"W01000458","Not Classified",9.936
"W01000459","B Road",6.862
"W01000459","Unclassified",69.584
"W01000459","A Road",19.311
"W01000459","Not Classified",59.295
"W01000460","Unclassified",68.226
"W01000460","B Road",8.514
"W01000460","Not Classified",40.344
"W01000460","A Road",9.8
"W01000461","Unclassified",38.525
"W01000461","A Road",4.123
"W01000461","Not Classified",29.486
"W01000461","B Road",6.197
"W01000464","Not Classified",110.41
"W01000464","A Road",17.66
"W01000464","B Road",15.122
"W01000464","Unclassified",69.805
"W01000465","Unclassified",24.067
"W01000465","B Road",7.979
"W01000465","Not Classified",10.798
"W01000466","A Road",0.324
"W01000466","Not Classified",1.526
"W01000466","B Road",1.717
"W01000466","Unclassified",4.179
"W01000467","A Road",0.378
"W01000467","B Road",3.379
"W01000467","Not Classified",5.545
"W01000467","Unclassified",5.458
"W01000470","A Road",5.599
"W01000470","Not Classified",30.267
"W01000470","B Road",7.735
"W01000470","Unclassified",53.866
"W01000471","Unclassified",109.367
"W01000471","Not Classified",270.405
"W01000471","A Road",18.278
"W01000471","B Road",5.204
"W01000472","B Road",3.725
"W01000472","Unclassified",26.951
"W01000472","Not Classified",16.594
"W01000472","A Road",10.27
"W01000473","Not Classified",6.962
"W01000473","Unclassified",9.192
"W01000473","A Road",2.835
"W01000474","Unclassified",150.218
"W01000474","Not Classified",116.034
"W01000474","A Road",33.069
"W01000475","A Road",20.739
"W01000475","Unclassified",151.722
"W01000475","B Road",26.226
"W01000475","Not Classified",86.832
"W01000476","Not Classified",5.335
"W01000476","B Road",7.782
"W01000476","Unclassified",12.74
"W01000477","Unclassified",118.21
"W01000477","Not Classified",163.271
"W01000477","A Road",27.105
"W01000477","B Road",12.614
"W01000478","Unclassified",4.696
"W01000478","Not Classified",0.07
"W01000478","A Road",0.182
"W01000479","Not Classified",0.348
"W01000479","A Road",0.798
"W01000479","Unclassified",3.007
"W01000480","Not Classified",5.682
"W01000480","Unclassified",14.005
"W01000480","B Road",0.563
"W01000480","A Road",6.098
"W01000481","Unclassified",12.177
"W01000481","B Road",3.609
"W01000481","Not Classified",6.208
"W01000482","Not Classified",5.942
"W01000482","Unclassified",13.119
"W01000482","B Road",3.876
"W01000483","Not Classified",1.966
"W01000483","Unclassified",10.271
"W01000483","A Road",2.953
"W01000484","B Road",25.503
"W01000484","A Road",16.088
"W01000484","Not Classified",62.141
"W01000484","Unclassified",81.222
"W01000485","Unclassified",19.516
"W01000485","B Road",9.582
"W01000485","Not Classified",17.546
"W01000486","Unclassified",3.656
"W01000486","B Road",4.006
"W01000486","Not Classified",3.262
"W01000487","Not Classified",34.854
"W01000487","B Road",5.69
"W01000487","A Road",2.109
"W01000487","Unclassified",76.194
"W01000488","Unclassified",116.669
"W01000488","B Road",15.51
"W01000488","Not Classified",72.015
"W01000489","A Road",0.788
"W01000489","Unclassified",8.35
"W01000489","B Road",1.234
"W01000489","Not Classified",3.133
"W01000492","Not Classified",1.252
"W01000492","Unclassified",4.968
"W01000492","B Road",2.318
"W01000493","Not Classified",7.463
"W01000493","A Road",0.652
"W01000493","B Road",2.818
"W01000493","Unclassified",6.377
"W01000494","Unclassified",47.514
"W01000494","Not Classified",10.357
"W01000494","B Road",2.812
"W01000494","A Road",12.202
"W01000496","Unclassified",46.52
"W01000496","Not Classified",54.095
"W01000496","A Road",8.552
"W01000497","B Road",1.501
"W01000497","Not Classified",19.069
"W01000497","A Road",6.954
"W01000497","Unclassified",32.354
"W01000498","Unclassified",14.231
"W01000498","B Road",0.204
"W01000498","A Road",6.866
"W01000498","Not Classified",29.496
"W01000499","A Road",1.662
"W01000499","B Road",0.476
"W01000499","Not Classified",1.256
"W01000499","Unclassified",2.359
"W01000500","Not Classified",9.113
"W01000500","A Road",6.011
"W01000500","Unclassified",8.638
"W01000501","Not Classified",9.646
"W01000501","A Road",2.787
"W01000501","Unclassified",13.433
"W01000501","B Road",0.6
"W01000502","A Road",0.134
"W01000502","Not Classified",3.832
"W01000502","Unclassified",10.497
"W01000502","B Road",3.232
"W01000503","Not Classified",67.878
"W01000503","Unclassified",101.628
"W01000503","A Road",3.762
"W01000503","B Road",10.595
"W01000504","B Road",0.384
"W01000504","Unclassified",3.056
"W01000504","A Road",0.003
"W01000504","Not Classified",0.291
"W01000505","Unclassified",6.38
"W01000505","B Road",0.376
"W01000505","Not Classified",9.148
"W01000505","A Road",0.472
"W01000506","A Road",2.925
"W01000506","Not Classified",4.351
"W01000506","Unclassified",8.217
"W01000507","Not Classified",16.354
"W01000507","Unclassified",12.177
"W01000507","B Road",5.203
"W01000507","A Road",3.428
"W01000508","B Road",0
"W01000508","Unclassified",5.799
"W01000508","Not Classified",12.428
"W01000509","Unclassified",9.474
"W01000509","A Road",0.343
"W01000509","B Road",2.19
"W01000509","Not Classified",1.69
"W01000510","Unclassified",4.512
"W01000510","Not Classified",3.399
"W01000510","A Road",1.96
"W01000510","B Road",1.083
"W01000511","Unclassified",7.511
"W01000511","B Road",0.992
"W01000511","Not Classified",3.445
"W01000511","A Road",3.059
"W01000512","A Road",0.816
"W01000512","Not Classified",2.6
"W01000512","Unclassified",2.448
"W01000513","Unclassified",2.647
"W01000513","B Road",0.529
"W01000513","Not Classified",0.887
"W01000513","A Road",0.677
"W01000515","Unclassified",2.805
"W01000515","Not Classified",0.674
"W01000515","A Road",0.491
"W01000516","Not Classified",1.215
"W01000516","Unclassified",3.642
"W01000516","A Road",0.906
"W01000517","B Road",0.05
"W01000517","Unclassified",3.163
"W01000517","A Road",0.014
"W01000517","Not Classified",0.236
"W01000518","Not Classified",3.351
"W01000518","A Road",0.374
"W01000518","Unclassified",2.605
"W01000519","A Road",5.858
"W01000519","B Road",13.419
"W01000519","Unclassified",60.697
"W01000519","Not Classified",41.778
"W01000522","Not Classified",44.815
"W01000522","B Road",12.019
"W01000522","Unclassified",47.558
"W01000522","A Road",6.68
"W01000523","A Road",11.937
"W01000523","B Road",4.525
"W01000523","Not Classified",121.789
"W01000523","Unclassified",62.475
"W01000524","A Road",10.396
"W01000524","Not Classified",30.461
"W01000524","Unclassified",48.051
"W01000524","B Road",4.031
"W01000525","A Road",0.599
"W01000525","Unclassified",5.901
"W01000525","Not Classified",3.698
"W01000527","Not Classified",2.126
"W01000527","A Road",1.333
"W01000527","Unclassified",2.055
"W01000528","Unclassified",8.236
"W01000528","A Road",5.427
"W01000528","Not Classified",8.423
"W01000529","A Road",8.37
"W01000529","Not Classified",29.863
"W01000529","Unclassified",48.816
"W01000529","B Road",8.926
"W01000531","Unclassified",31.096
"W01000531","A Road",9.364
"W01000531","Not Classified",32.806
"W01000531","B Road",8.121
"W01000532","Unclassified",71.282
"W01000532","Not Classified",55.45
"W01000532","B Road",7.699
"W01000532","A Road",11.395
"W01000533","Not Classified",5.576
"W01000533","A Road",1.262
"W01000533","Unclassified",9.188
"W01000533","B Road",5.016
"W01000534","Unclassified",29.113
"W01000534","B Road",3.885
"W01000534","Not Classified",26.652
"W01000534","A Road",14.048
"W01000535","A Road",6.203
"W01000535","Unclassified",55.919
"W01000535","Not Classified",48.773
"W01000535","B Road",33.016
"W01000536","A Road",2.88
"W01000536","Not Classified",99.312
"W01000536","Unclassified",64.695
"W01000536","B Road",21.467
"W01000537","Unclassified",66.048
"W01000537","A Road",11.986
"W01000537","Not Classified",48.71
"W01000537","B Road",6.27
"W01000538","Not Classified",39.335
"W01000538","Unclassified",69.52
"W01000538","A Road",4.991
"W01000538","B Road",12.173
"W01000539","Not Classified",30.886
"W01000539","Unclassified",37.866
"W01000539","A Road",0.627
"W01000539","B Road",15.199
"W01000540","B Road",0.362
"W01000540","A Road",6.144
"W01000540","Not Classified",10.035
"W01000540","Unclassified",8.933
"W01000541","Unclassified",59.297
"W01000541","A Road",8.67
"W01000541","B Road",18.003
"W01000541","Not Classified",45.035
"W01000542","Unclassified",100.33
"W01000542","A Road",7.743
"W01000542","Not Classified",141.283
"W01000542","B Road",18.435
"W01000543","Not Classified",123.706
"W01000543","A Road",34.603
"W01000543","B Road",17.468
"W01000543","Unclassified",150.769
"W01000544","B Road",1.837
"W01000544","Not Classified",7.717
"W01000544","Unclassified",6.671
"W01000544","A Road",0.808
"W01000545","Unclassified",78.445
"W01000545","B Road",13.728
"W01000545","Not Classified",48.008
"W01000545","A Road",9.332
"W01000546","B Road",5.844
"W01000546","A Road",4.316
"W01000546","Unclassified",19.29
"W01000546","Not Classified",17.63
"W01000547","A Road",3.676
"W01000547","B Road",1.44
"W01000547","Not Classified",17.674
"W01000547","Unclassified",34.667
"W01000548","Unclassified",12.686
"W01000548","B Road",3.744
"W01000548","Not Classified",18.226
"W01000548","A Road",2.511
"W01000549","A Road",0.981
"W01000549","Unclassified",42.989
"W01000549","Not Classified",23.74
"W01000550","Unclassified",44.068
"W01000550","A Road",6.499
"W01000550","Not Classified",61.265
"W01000550","B Road",8.099
"W01000551","Unclassified",39.502
"W01000551","A Road",4.928
"W01000551","Not Classified",20.565
"W01000551","B Road",10.012
"W01000552","A Road",7.366
"W01000552","B Road",18.055
"W01000552","Unclassified",56.957
"W01000552","Not Classified",60.027
"W01000553","Unclassified",35.493
"W01000553","Not Classified",20.274
"W01000553","A Road",4.853
"W01000554","Not Classified",18.558
"W01000554","Unclassified",28.498
"W01000554","A Road",0.339
"W01000555","Not Classified",26.911
"W01000555","B Road",11.204
"W01000555","Unclassified",39.429
"W01000555","A Road",4.872
"W01000556","Not Classified",12.115
"W01000556","A Road",5.714
"W01000556","Unclassified",33.512
"W01000557","A Road",9.338
"W01000557","B Road",1.028
"W01000557","Unclassified",33.995
"W01000557","Not Classified",8.624
"W01000558","Unclassified",47.878
"W01000558","B Road",4.929
"W01000558","Not Classified",37.276
"W01000558","A Road",7.164
"W01000559","B Road",4.684
"W01000559","A Road",3.762
"W01000559","Not Classified",46.357
"W01000559","Unclassified",85.192
"W01000560","Not Classified",38.218
"W01000560","B Road",10.374
"W01000560","A Road",7.691
"W01000560","Unclassified",44.746
"W01000561","Not Classified",24.864
"W01000561","Unclassified",30.574
"W01000561","A Road",4.362
"W01000562","A Road",5.483
"W01000562","B Road",16.318
"W01000562","Not Classified",48.949
"W01000562","Unclassified",79.611
"W01000563","A Road",6.613
"W01000563","Unclassified",21.525
"W01000563","B Road",5.06
"W01000563","Not Classified",11.585
"W01000564","B Road",0.392
"W01000564","Unclassified",3.203
"W01000564","Not Classified",4.497
"W01000564","A Road",1.721
"W01000565","B Road",0.945
"W01000565","A Road",1.046
"W01000565","Not Classified",2.705
"W01000565","Unclassified",5.743
"W01000566","A Road",3.075
"W01000566","Unclassified",5.96
"W01000566","Not Classified",2.201
"W01000567","Unclassified",11.176
"W01000567","Not Classified",7.332
"W01000567","A Road",1.782
"W01000568","Not Classified",1.097
"W01000568","A Road",0.422
"W01000568","Unclassified",7.245
"W01000568","B Road",0.464
"W01000569","Unclassified",2.76
"W01000569","A Road",0.512
"W01000569","Not Classified",0.232
"W01000569","B Road",0.645
"W01000570","Unclassified",3.796
"W01000570","Not Classified",0.041
"W01000571","B Road",1.54
"W01000571","A Road",0.24
"W01000571","Not Classified",1.513
"W01000571","Unclassified",5.741
"W01000572","Not Classified",4.111
"W01000572","Unclassified",6.33
"W01000572","B Road",1.198
"W01000572","A Road",1.629
"W01000573","Unclassified",11.535
"W01000573","A Road",1.151
"W01000573","Not Classified",0.837
"W01000574","B Road",28.135
"W01000574","Not Classified",104.495
"W01000574","Unclassified",87.925
"W01000575","B Road",2.673
"W01000575","Unclassified",27.014
"W01000575","A Road",4.887
"W01000575","Not Classified",12.094
"W01000576","B Road",0.105
"W01000576","A Road",7.228
"W01000576","Unclassified",26.463
"W01000576","Not Classified",15.989
"W01000577","B Road",6.387
"W01000577","A Road",7.405
"W01000577","Unclassified",45.316
"W01000577","Not Classified",37.977
"W01000578","A Road",8.068
"W01000578","B Road",2.684
"W01000578","Unclassified",31.837
"W01000578","Not Classified",20.693
"W01000579","B Road",7.619
"W01000579","Unclassified",60.579
"W01000579","Not Classified",22.481
"W01000579","A Road",8.781
"W01000580","Not Classified",5.756
"W01000580","Unclassified",23.33
"W01000581","A Road",9.371
"W01000581","Not Classified",23.116
"W01000581","B Road",6.367
"W01000581","Unclassified",57.443
"W01000582","B Road",9.919
"W01000582","Not Classified",44.429
"W01000582","Unclassified",83.181
"W01000583","Not Classified",23.44
"W01000583","Unclassified",30.105
"W01000583","A Road",6.566
"W01000583","B Road",2.752
"W01000584","B Road",4.446
"W01000584","Not Classified",21.609
"W01000584","Unclassified",36.488
"W01000584","A Road",4.888
"W01000585","Not Classified",58.523
"W01000585","Unclassified",76.136
"W01000585","B Road",3.748
"W01000585","A Road",12.335
"W01000586","Not Classified",5.56
"W01000586","Unclassified",10.414
"W01000586","A Road",1.861
"W01000587","Not Classified",2.443
"W01000587","B Road",0.497
"W01000587","Unclassified",5.893
"W01000587","A Road",1.069
"W01000588","B Road",1.752
"W01000588","Unclassified",9.129
"W01000588","A Road",0.327
"W01000588","Not Classified",11.098
"W01000589","Not Classified",0.371
"W01000589","A Road",0.007
"W01000589","Unclassified",3.328
"W01000590","Unclassified",3.545
"W01000590","Not Classified",0.385
"W01000591","Not Classified",2.971
"W01000591","Unclassified",10.433
"W01000592","Unclassified",4.043
"W01000592","Not Classified",0.255
"W01000593","Not Classified",1.632
"W01000593","A Road",1.483
"W01000593","Unclassified",11.574
"W01000594","Unclassified",5.318
"W01000594","Not Classified",0.839
"W01000594","A Road",0.111
"W01000595","A Road",1.495
"W01000595","Unclassified",4.597
"W01000595","Not Classified",1.064
"W01000595","B Road",1.272
"W01000596","B Road",4.765
"W01000596","A Road",10.792
"W01000596","Not Classified",19.084
"W01000596","Unclassified",17.158
"W01000597","Unclassified",15.045
"W01000597","A Road",4.039
"W01000597","Not Classified",13.439
"W01000598","Unclassified",8.922
"W01000598","B Road",1.687
"W01000598","Not Classified",1.762
"W01000598","A Road",0.12
"W01000599","A Road",3.964
"W01000599","B Road",3.662
"W01000599","Unclassified",18.816
"W01000599","Not Classified",18.627
"W01000600","B Road",0.046
"W01000600","A Road",0.765
"W01000600","Not Classified",1.121
"W01000600","Unclassified",2.963
"W01000601","Not Classified",1.364
"W01000601","A Road",2.645
"W01000601","Unclassified",6.625
"W01000602","Not Classified",1.29
"W01000602","B Road",0.218
"W01000602","A Road",0.726
"W01000602","Unclassified",5.124
"W01000603","Unclassified",6.839
"W01000603","B Road",0.941
"W01000603","Not Classified",2.606
"W01000603","A Road",0.484
"W01000604","Not Classified",0.484
"W01000604","B Road",0.51
"W01000604","Unclassified",5.254
"W01000605","B Road",0.164
"W01000605","Not Classified",0.659
"W01000605","Unclassified",6.111
"W01000606","Unclassified",4.138
"W01000606","Not Classified",1.223
"W01000606","B Road",1.185
"W01000607","Unclassified",7.789
"W01000607","A Road",0.999
"W01000607","B Road",0.169
"W01000607","Not Classified",2.017
"W01000608","Unclassified",4.405
"W01000608","Not Classified",0.562
"W01000608","A Road",1.468
"W01000608","B Road",1.149
"W01000609","A Road",2.298
"W01000609","Not Classified",4.68
"W01000609","Unclassified",13.232
"W01000609","B Road",0.191
"W01000610","Not Classified",33.591
"W01000610","B Road",3.373
"W01000610","Unclassified",20.657
"W01000610","A Road",5.235
"W01000611","Not Classified",20.76
"W01000611","Unclassified",33.72
"W01000611","A Road",9.553
"W01000611","B Road",5.449
"W01000612","Not Classified",26.112
"W01000612","Unclassified",51.499
"W01000612","A Road",10.739
"W01000612","B Road",3.05
"W01000613","A Road",3.52
"W01000613","B Road",10.534
"W01000613","Unclassified",89.542
"W01000613","Not Classified",67.589
"W01000614","Unclassified",53.519
"W01000614","B Road",5.662
"W01000614","Not Classified",22.955
"W01000615","Not Classified",4.798
"W01000615","A Road",0.892
"W01000615","Unclassified",9.944
"W01000615","B Road",0.209
"W01000616","Not Classified",5.859
"W01000616","B Road",2.029
"W01000616","Unclassified",9.124
"W01000617","Unclassified",74.565
"W01000617","A Road",12.975
"W01000617","Not Classified",34.141
"W01000618","Not Classified",24.694
"W01000618","A Road",7.773
"W01000618","B Road",3.121
"W01000618","Unclassified",66.715
"W01000619","Unclassified",5.579
"W01000619","Not Classified",3.827
"W01000619","B Road",0.445
"W01000619","A Road",2.724
"W01000620","A Road",0.903
"W01000620","Unclassified",1.61
"W01000620","Not Classified",0.626
"W01000621","A Road",1.485
"W01000621","B Road",0.05
"W01000621","Not Classified",8.811
"W01000621","Unclassified",4.337
"W01000622","B Road",11.344
"W01000622","Unclassified",53.772
"W01000622","Not Classified",25.112
"W01000623","Unclassified",85.389
"W01000623","B Road",7.106
"W01000623","A Road",0.238
"W01000623","Not Classified",33.812
"W01000624","B Road",0.254
"W01000624","A Road",14.149
"W01000624","Unclassified",73.9
"W01000624","Not Classified",70.733
"W01000625","Unclassified",3.624
"W01000625","A Road",0.487
"W01000625","Not Classified",1.652
"W01000626","Unclassified",5.382
"W01000626","A Road",1.393
"W01000626","Not Classified",1.916
"W01000627","Unclassified",17.808
"W01000627","Not Classified",6.959
"W01000627","A Road",0.297
"W01000628","Unclassified",7.209
"W01000628","Not Classified",2.59
"W01000628","B Road",0.6
"W01000628","A Road",0.517
"W01000629","Unclassified",3.617
"W01000629","A Road",0.007
"W01000629","Not Classified",2.119
"W01000630","Not Classified",2.292
"W01000630","Unclassified",3.522
"W01000631","Unclassified",4.459
"W01000631","Not Classified",1.051
"W01000631","B Road",0.026
"W01000632","A Road",0.14
"W01000632","Not Classified",0.276
"W01000632","Unclassified",2.759
"W01000633","Unclassified",5.498
"W01000633","Not Classified",4.732
"W01000633","B Road",2.178
"W01000634","A Road",1.262
"W01000634","Not Classified",2.425
"W01000634","Unclassified",5.459
"W01000634","B Road",0.6
"W01000635","Not Classified",5.153
"W01000635","Unclassified",10.153
"W01000635","A Road",1.694
"W01000635","B Road",2.764
"W01000636","B Road",0.346
"W01000636","Unclassified",5.622
"W01000636","Not Classified",0.584
"W01000637","Not Classified",0.831
"W01000637","Unclassified",5.334
"W01000638","Unclassified",2.323
"W01000638","Not Classified",0.139
"W01000639","Unclassified",3.124
"W01000639","Not Classified",0.781
"W01000640","Not Classified",1.795
"W01000640","Unclassified",5.025
"W01000640","A Road",3.102
"W01000641","A Road",2.411
"W01000641","Not Classified",2.179
"W01000641","Unclassified",7.316
"W01000641","B Road",0.572
"W01000642","A Road",3.041
"W01000642","Unclassified",10.076
"W01000642","B Road",3.51
"W01000642","Not Classified",8.958
"W01000643","Not Classified",0.565
"W01000643","B Road",0.445
"W01000643","Unclassified",3.511
"W01000644","Unclassified",9.408
"W01000644","A Road",0.181
"W01000644","Not Classified",6.076
"W01000644","B Road",0.12
"W01000645","Unclassified",3.852
"W01000645","Not Classified",0.982
"W01000646","Not Classified",35.796
"W01000646","Unclassified",61.496
"W01000646","B Road",3.648
"W01000646","A Road",6.93
"W01000647","A Road",14.172
"W01000647","Not Classified",95.107
"W01000647","Unclassified",108.763
"W01000648","Unclassified",49.598
"W01000648","A Road",6.021
"W01000648","B Road",11.238
"W01000648","Not Classified",76.109
"W01000649","Unclassified",55.884
"W01000649","Not Classified",26.723
"W01000649","A Road",9.652
"W01000649","B Road",4.488
"W01000650","B Road",15.139
"W01000650","Not Classified",156.331
"W01000650","A Road",13.844
"W01000650","Unclassified",103.504
"W01000651","Not Classified",2.507
"W01000651","Unclassified",6.233
"W01000651","A Road",0.963
"W01000651","B Road",0.892
"W01000652","Unclassified",4.767
"W01000652","Not Classified",0.68
"W01000652","B Road",0.141
"W01000653","B Road",0.598
"W01000653","Unclassified",3.905
"W01000653","A Road",0.348
"W01000653","Not Classified",1.632
"W01000654","Not Classified",3.937
"W01000654","Unclassified",4.141
"W01000654","B Road",0.824
"W01000654","A Road",0.899
"W01000655","Unclassified",7.41
"W01000655","B Road",0.505
"W01000655","A Road",0.488
"W01000655","Not Classified",3.764
"W01000656","Unclassified",12.092
"W01000656","Not Classified",3.56
"W01000656","A Road",1.688
"W01000657","Not Classified",9.079
"W01000657","Unclassified",6.016
"W01000657","A Road",1.407
"W01000658","Not Classified",1.769
"W01000658","A Road",0.724
"W01000658","Unclassified",5.195
"W01000659","Not Classified",2.8
"W01000659","Unclassified",5.058
"W01000659","B Road",0.867
"W01000660","Not Classified",1.775
"W01000660","B Road",0.102
"W01000660","Unclassified",4.201
"W01000662","Unclassified",18.985
"W01000662","B Road",9.824
"W01000662","Not Classified",13.1
"W01000663","B Road",2.247
"W01000663","Unclassified",13.236
"W01000663","Not Classified",3.232
"W01000664","Not Classified",4.858
"W01000664","A Road",1.376
"W01000664","Unclassified",14.264
"W01000664","B Road",0.523
"W01000665","Unclassified",13.623
"W01000665","A Road",5.226
"W01000665","B Road",6.436
"W01000665","Motorway",1.013
"W01000665","Not Classified",5.093
"W01000666","B Road",0.686
"W01000666","A Road",1.236
"W01000666","Unclassified",3.061
"W01000666","Not Classified",0.908
"W01000666","Motorway",0.155
"W01000667","Unclassified",5.507
"W01000667","Not Classified",2.584
"W01000667","B Road",1.229
"W01000667","A Road",0.311
"W01000670","Not Classified",0.542
"W01000670","B Road",0.361
"W01000670","Unclassified",3.213
"W01000671","Not Classified",7.277
"W01000671","B Road",1.075
"W01000671","Unclassified",16.11
"W01000671","A Road",3.626
"W01000672","Unclassified",48.004
"W01000672","B Road",9.695
"W01000672","Not Classified",83.044
"W01000672","A Road",14.568
"W01000673","Unclassified",18.244
"W01000673","Not Classified",36.876
"W01000673","A Road",5.815
"W01000674","Unclassified",116.968
"W01000674","A Road",6.643
"W01000674","Not Classified",75.145
"W01000675","Unclassified",54.414
"W01000675","Not Classified",22.023
"W01000675","B Road",18.555
"W01000675","A Road",4.399
"W01000676","Unclassified",42.137
"W01000676","B Road",1.37
"W01000676","Not Classified",27.484
"W01000676","A Road",6.653
"W01000677","A Road",1.56
"W01000677","B Road",0.052
"W01000677","Not Classified",2.121
"W01000677","Unclassified",3.923
"W01000678","Not Classified",129.651
"W01000678","A Road",15.029
"W01000678","Unclassified",75.239
"W01000679","Not Classified",4.481
"W01000679","A Road",2.567
"W01000679","B Road",0.394
"W01000679","Unclassified",7.423
"W01000680","B Road",0.913
"W01000680","Not Classified",6.263
"W01000680","A Road",1.679
"W01000680","Unclassified",20.518
"W01000681","A Road",3.486
"W01000681","B Road",0.658
"W01000681","Not Classified",5.223
"W01000681","Unclassified",11.273
"W01000682","Not Classified",18.694
"W01000682","A Road",6.021
"W01000682","B Road",2.923
"W01000682","Unclassified",42.606
"W01000683","B Road",15.35
"W01000683","Unclassified",100.699
"W01000683","Not Classified",97.656
"W01000684","Unclassified",57.701
"W01000684","Not Classified",24.788
"W01000684","A Road",12.23
"W01000684","B Road",9.675
"W01000685","B Road",9.329
"W01000685","Unclassified",33.809
"W01000685","Not Classified",31.817
"W01000685","A Road",4.224
"W01000686","Not Classified",42.771
"W01000686","Unclassified",42.659
"W01000686","A Road",8.613
"W01000686","B Road",3.872
"W01000687","Unclassified",152.17
"W01000687","Not Classified",80.918
"W01000687","A Road",23.465
"W01000688","Unclassified",22.077
"W01000688","A Road",5.72
"W01000688","B Road",3.57
"W01000688","Not Classified",13.893
"W01000689","Not Classified",34.929
"W01000689","B Road",3.999
"W01000689","A Road",6.307
"W01000689","Unclassified",45.289
"W01000690","B Road",0.765
"W01000690","Unclassified",9.08
"W01000690","Not Classified",5.21
"W01000690","A Road",1.923
"W01000691","Not Classified",0.465
"W01000691","B Road",1.553
"W01000691","Unclassified",4.563
"W01000692","Not Classified",1.539
"W01000692","A Road",0.009
"W01000692","B Road",0.521
"W01000692","Unclassified",4.293
"W01000693","Not Classified",0.224
"W01000693","B Road",0.34
"W01000693","Unclassified",3.895
"W01000694","B Road",4.737
"W01000694","A Road",10.522
"W01000694","Not Classified",12.517
"W01000694","Unclassified",35.434
"W01000695","B Road",2.291
"W01000695","Unclassified",14.304
"W01000695","Not Classified",6.694
"W01000696","Not Classified",19.029
"W01000696","Unclassified",40.897
"W01000696","B Road",10.118
"W01000697","A Road",3.026
"W01000697","Unclassified",9.798
"W01000697","Not Classified",2.915
"W01000697","B Road",0.356
"W01000698","Unclassified",6.431
"W01000698","Not Classified",1.01
"W01000698","A Road",0.959
"W01000698","B Road",1.531
"W01000699","Not Classified",15.51
"W01000699","B Road",5.464
"W01000699","A Road",10.1
"W01000699","Unclassified",25.139
"W01000700","B Road",9.154
"W01000700","Unclassified",90.102
"W01000700","Not Classified",31.848
"W01000701","B Road",7.694
"W01000701","Unclassified",55.753
"W01000701","A Road",11.719
"W01000701","Not Classified",62.694
"W01000702","A Road",2.411
"W01000702","Not Classified",3.214
"W01000702","Unclassified",6.687
"W01000702","B Road",1.599
"W01000703","Unclassified",4.746
"W01000703","Not Classified",2.302
"W01000703","A Road",0.922
"W01000704","Unclassified",3.915
"W01000704","Not Classified",1.153
"W01000704","A Road",0.989
"W01000705","Not Classified",2.457
"W01000705","Unclassified",5.361
"W01000706","Unclassified",3.951
"W01000706","Not Classified",1.746
"W01000706","A Road",0.386
"W01000706","B Road",1.392
"W01000707","B Road",0.366
"W01000707","Unclassified",3.492
"W01000708","Unclassified",4.897
"W01000708","Not Classified",2.44
"W01000708","B Road",1.117
"W01000709","B Road",14.603
"W01000709","Not Classified",42.686
"W01000709","Unclassified",90.242
"W01000709","A Road",7.555
"W01000710","Unclassified",13.707
"W01000710","B Road",1.194
"W01000710","Not Classified",16.301
"W01000710","A Road",5.236
"W01000711","B Road",0.919
"W01000711","Not Classified",15.179
"W01000711","A Road",0.731
"W01000711","Unclassified",7.686
"W01000712","Not Classified",1.402
"W01000712","Unclassified",5.833
"W01000712","B Road",1.959
"W01000713","Not Classified",1.934
"W01000713","B Road",2.684
"W01000713","Unclassified",4.99
"W01000714","A Road",0.656
"W01000714","Unclassified",3.917
"W01000714","Not Classified",1.078
"W01000715","A Road",0.61
"W01000715","Not Classified",0.559
"W01000715","Unclassified",4.566
"W01000716","B Road",5.846
"W01000716","Unclassified",7.558
"W01000716","Not Classified",7.838
"W01000717","Not Classified",2.697
"W01000717","Unclassified",5.927
"W01000717","B Road",2.17
"W01000718","Unclassified",4.544
"W01000718","Not Classified",0.614
"W01000718","A Road",1.167
"W01000719","Not Classified",7.817
"W01000719","Unclassified",5.257
"W01000719","A Road",4.144
"W01000720","B Road",1.147
"W01000720","A Road",6.728
"W01000720","Not Classified",11.666
"W01000720","Unclassified",12.734
"W01000721","B Road",1.91
"W01000721","Unclassified",11.46
"W01000721","A Road",3.25
"W01000721","Not Classified",12.106
"W01000722","A Road",9.104
"W01000722","Not Classified",19.559
"W01000722","B Road",4.31
"W01000722","Unclassified",40.838
"W01000723","Unclassified",34.729
"W01000723","Not Classified",15.767
"W01000724","Unclassified",9.51
"W01000724","Not Classified",3.77
"W01000724","B Road",1.642
"W01000725","A Road",0.92
"W01000725","Not Classified",2.347
"W01000725","Unclassified",10.821
"W01000725","B Road",0.001
"W01000726","Not Classified",4.281
"W01000726","Unclassified",11.614
