"LSOA11CD","class","total_length"
"W01000057","B Road",3.035
"W01000057","A Road",27.365
"W01000057","Unclassified",86.904
"W01000059","Not Classified",0.942
"W01000059","Unclassified",5.874
"W01000059","B Road",0.56
"W01000059","A Road",0.561
"W01000060","Not Classified",169.414
"W01000060","Unclassified",53.299
"W01000060","A Road",24.601
"W01000061","Unclassified",9.539
"W01000061","A Road",2.754
"W01000061","Not Classified",4.819
"W01000061","B Road",0.96
"W01000062","B Road",0.056
"W01000062","A Road",0.558
"W01000062","Not Classified",1.382
"W01000062","Unclassified",3.912
"W01000063","Not Classified",17
"W01000063","Unclassified",22.067
"W01000063","A Road",0.336
"W01000064","A Road",1.876
"W01000064","Not Classified",3.17
"W01000064","Unclassified",4.062
"W01000065","Not Classified",3.791
"W01000065","Unclassified",4.9
"W01000065","A Road",0.712
"W01000066","A Road",12.894
"W01000066","Unclassified",46.837
"W01000066","B Road",1.197
"W01000066","Not Classified",32.905
"W01000067","Unclassified",14.875
"W01000067","A Road",8.747
"W01000067","B Road",0.304
"W01000067","Not Classified",23.475
"W01000068","Not Classified",2.332
"W01000068","A Road",0.002
"W01000068","Unclassified",8.675
"W01000069","A Road",6.983
"W01000069","Unclassified",19.947
"W01000069","Not Classified",34.72
"W01000070","B Road",13.889
"W01000070","Unclassified",56.071
"W01000070","A Road",7.689
"W01000070","Not Classified",32.804
"W01000071","Not Classified",1.93
"W01000071","Unclassified",8.126
"W01000071","A Road",0.021
"W01000071","B Road",0.065
"W01000072","Not Classified",0.699
"W01000072","Unclassified",6.235
"W01000072","A Road",0.776
"W01000073","Not Classified",28.819
"W01000073","Unclassified",25.405
"W01000073","A Road",6.105
"W01000074","Not Classified",34.171
"W01000074","A Road",12.956
"W01000074","B Road",6.135
"W01000074","Unclassified",26.356
"W01000075","A Road",0.508
"W01000075","Not Classified",0.689
"W01000075","Unclassified",4.287
"W01000076","A Road",0.543
"W01000076","Unclassified",4.056
"W01000076","Not Classified",1.07
"W01000077","Not Classified",0.689
"W01000077","A Road",0.703
"W01000077","Unclassified",3.043
"W01000078","B Road",8.746
"W01000078","Unclassified",27.952
"W01000078","A Road",5.047
"W01000078","Not Classified",29.607
"W01000079","A Road",3.709
"W01000079","Unclassified",37.05
"W01000079","Not Classified",35.655
"W01000080","Unclassified",18.342
"W01000080","Not Classified",31.736
"W01000080","B Road",1.748
"W01000080","A Road",7.319
"W01000081","Not Classified",13.564
"W01000081","Unclassified",15.86
"W01000081","A Road",7.943
"W01000082","B Road",21.749
"W01000082","Not Classified",70.983
"W01000082","A Road",19.635
"W01000082","Unclassified",39.385
"W01000083","B Road",13.904
"W01000083","Not Classified",182.82
"W01000083","Unclassified",88.368
"W01000083","A Road",20.589
"W01000084","Unclassified",41.719
"W01000084","B Road",3.646
"W01000084","Not Classified",25.877
"W01000085","Not Classified",62.386
"W01000085","A Road",22.119
"W01000085","Unclassified",58.498
"W01000086","Not Classified",45.404
"W01000086","B Road",5.43
"W01000086","Unclassified",59.944
"W01000086","A Road",12.03
"W01000087","A Road",1.318
"W01000087","Unclassified",5.947
"W01000087","Not Classified",3.215
"W01000088","Not Classified",18.304
"W01000088","Unclassified",28.719
"W01000088","A Road",2.336
"W01000089","Unclassified",70.237
"W01000089","B Road",8.678
"W01000089","Not Classified",57.769
"W01000089","A Road",8.46
"W01000090","Unclassified",3.378
"W01000090","Not Classified",0.538
"W01000091","Not Classified",0.338
"W01000091","A Road",0.451
"W01000091","Unclassified",2.413
"W01000092","A Road",2.213
"W01000092","Not Classified",2.58
"W01000092","Unclassified",5.663
"W01000093","B Road",1.998
"W01000093","Unclassified",7.065
"W01000093","Not Classified",4.454
"W01000093","A Road",2.302
"W01000094","Unclassified",13.103
"W01000094","Not Classified",10.368
"W01000094","B Road",6.11
"W01000095","A Road",1.602
"W01000095","Not Classified",6.14
"W01000095","B Road",2.184
"W01000095","Unclassified",8.411
"W01000096","A Road",0.324
"W01000096","Not Classified",0.246
"W01000096","Unclassified",3.841
"W01000097","Unclassified",3.554
"W01000097","Not Classified",0.627
"W01000097","A Road",1.361
"W01000098","A Road",0.148
"W01000098","Unclassified",4.535
"W01000098","Not Classified",4.978
"W01000099","Not Classified",15.018
"W01000099","B Road",0.742
"W01000099","A Road",4.689
"W01000099","Unclassified",20.29
"W01000100","B Road",4.497
"W01000100","Not Classified",26.483
"W01000100","A Road",4.901
"W01000100","Unclassified",15.103
"W01000101","A Road",4.164
"W01000101","Not Classified",13.289
"W01000101","Unclassified",8.802
"W01000102","Not Classified",3.988
