"LSOA11CD","descriptiveterm","total_length"
"W01000001","Alley",0.178
"W01000001","Minor Road",35.152
"W01000001","Private Road - Restricted Access",22.486
"W01000001","Local Street",6.837
"W01000001","A Road",8.24
"W01000002","Local Street",4.325
"W01000002","Minor Road",12.006
"W01000002","Private Road - Restricted Access",15.518
"W01000002","Private Road - Publicly Accessible",0.177
"W01000002","A Road",7.357
"W01000003","B Road",0.995
"W01000003","A Road",1.258
"W01000003","Local Street",9.326
"W01000003","Minor Road",4.977
"W01000003","Private Road - Publicly Accessible",0.387
"W01000003","Alley",0.304
"W01000003","Private Road - Restricted Access",6.354
"W01000004","B Road",4.953
"W01000004","Minor Road",17.009
"W01000004","A Road",6.193
"W01000004","Local Street",5.226
"W01000004","Private Road - Publicly Accessible",0.297
"W01000004","Private Road - Restricted Access",22.756
"W01000005","A Road",1.752
"W01000005","B Road",6.302
"W01000005","Local Street",7.296
"W01000005","Alley",0.264
"W01000005","Minor Road",12.035
"W01000005","Private Road - Publicly Accessible",0.16
"W01000005","Private Road - Restricted Access",9.606
"W01000006","A Road",9.632
"W01000006","B Road",17.136
"W01000006","Local Street",3.983
"W01000006","Private Road - Restricted Access",28.472
"W01000006","Minor Road",35.077
"W01000006","Private Road - Publicly Accessible",1.101
"W01000007","Alley",0.033
"W01000007","Local Street",5.69
"W01000007","Minor Road",33.754
"W01000007","Private Road - Restricted Access",28.581
"W01000007","A Road",23.069
"W01000007","Private Road - Publicly Accessible",0.159
"W01000007","B Road",6.82
"W01000008","A Road",9.009
"W01000008","Alley",0.04
"W01000008","Minor Road",3.5
"W01000008","Local Street",3.961
"W01000008","Private Road - Restricted Access",3.818
"W01000008","Private Road - Publicly Accessible",0.128
"W01000009","Private Road - Publicly Accessible",0.083
"W01000009","Minor Road",36.342
"W01000009","B Road",3.149
"W01000009","A Road",28.424
"W01000009","Private Road - Restricted Access",21.779
"W01000009","Local Street",3.748
"W01000010","Minor Road",11.164
"W01000010","Private Road - Restricted Access",10.802
"W01000010","A Road",2.138
"W01000010","Local Street",8.135
"W01000010","Alley",0.118
"W01000010","B Road",5.946
"W01000011","A Road",3.98
"W01000011","Private Road - Publicly Accessible",0.041
"W01000011","B Road",0.935
"W01000011","Local Street",6.056
"W01000011","Private Road - Restricted Access",2.538
"W01000011","Alley",0.081
"W01000012","A Road",1.145
"W01000012","Private Road - Restricted Access",6.313
"W01000012","Minor Road",2.542
"W01000012","Private Road - Publicly Accessible",0.47
"W01000012","B Road",3.425
"W01000012","Local Street",8.429
"W01000013","Local Street",7.039
"W01000013","A Road",7.707
"W01000013","Minor Road",25.461
"W01000013","B Road",5.797
"W01000013","Private Road - Restricted Access",22.001
"W01000014","Local Street",7.007
"W01000014","B Road",9.991
"W01000014","Minor Road",3.228
"W01000014","Private Road - Publicly Accessible",0.205
"W01000014","Private Road - Restricted Access",7.05
"W01000015","Minor Road",1.911
"W01000015","Private Road - Restricted Access",3.406
"W01000015","A Road",7.862
"W01000015","Local Street",6.552
"W01000016","Minor Road",1.188
"W01000016","Private Road - Restricted Access",2.322
"W01000016","Local Street",3.194
"W01000016","Pedestrianised Street",0.316
"W01000016","Alley",0.49
"W01000016","A Road",0.813
"W01000017","Local Street",3.875
"W01000017","Private Road - Publicly Accessible",0.135
"W01000017","Minor Road",3.61
"W01000017","A Road",6.167
"W01000017","Alley",0.255
"W01000017","B Road",1.57
"W01000017","Private Road - Restricted Access",0.224
"W01000018","A Road",6.763
"W01000018","Alley",0.103
"W01000018","Minor Road",12.1
"W01000018","Local Street",6.674
"W01000018","Private Road - Restricted Access",15.269
"W01000019","Minor Road",12.172
"W01000019","A Road",5.752
"W01000019","Local Street",9.532
"W01000019","B Road",0.65
"W01000019","Private Road - Restricted Access",25.095
"W01000020","Private Road - Restricted Access",49.549
"W01000020","Local Street",10.015
"W01000020","B Road",15.303
"W01000020","A Road",1.064
"W01000020","Minor Road",42.851
"W01000021","Local Street",7.411
"W01000021","Minor Road",62.978
"W01000021","A Road",4.532
"W01000021","B Road",4.682
"W01000021","Private Road - Restricted Access",39.014
"W01000022","Local Street",3.929
"W01000022","Minor Road",48.544
"W01000022","Private Road - Restricted Access",33.274
"W01000022","A Road",9.981
"W01000023","Alley",0.094
"W01000023","B Road",4.682
"W01000023","Private Road - Restricted Access",18.292
"W01000023","Minor Road",28.598
"W01000023","A Road",22.321
"W01000023","Local Street",4.747
"W01000024","Local Street",6.17
"W01000024","Private Road - Restricted Access",15.618
"W01000024","A Road",4.098
"W01000024","Minor Road",11.364
"W01000025","Minor Road",29.72
"W01000025","Alley",0.037
"W01000025","Local Street",8.611
"W01000025","A Road",26.502
"W01000025","Private Road - Restricted Access",17.302
"W01000025","B Road",9.45
"W01000026","Private Road - Restricted Access",11.49
"W01000026","B Road",1.02
"W01000026","Minor Road",18.438
"W01000026","Local Street",4.898
"W01000027","Minor Road",26.581
"W01000027","Alley",0.071
"W01000027","Private Road - Restricted Access",34.878
"W01000027","A Road",9.57
"W01000027","Local Street",5.778
"W01000027","B Road",2.484
"W01000028","Local Street",8.551
"W01000028","Private Road - Publicly Accessible",0.146
"W01000028","B Road",14.367
"W01000028","Private Road - Restricted Access",36.61
"W01000028","Minor Road",68.027
"W01000029","Local Street",4.287
"W01000029","Private Road - Publicly Accessible",0.112
"W01000029","Private Road - Restricted Access",0.617
"W01000029","Minor Road",1.479
"W01000029","A Road",2.201
"W01000030","Private Road - Restricted Access",1.815
"W01000030","Local Street",5.97
"W01000030","Alley",0.72
"W01000030","Minor Road",4.39
"W01000031","A Road",3.585
"W01000031","Minor Road",54.174
"W01000031","Private Road - Restricted Access",28.666
"W01000031","Local Street",3.777
"W01000032","Local Street",6.252
"W01000032","A Road",7.837
"W01000032","Minor Road",11.286
"W01000032","Private Road - Restricted Access",18.6
"W01000033","Private Road - Restricted Access",4.555
"W01000033","Local Street",4.408
"W01000033","A Road",0.525
"W01000033","Minor Road",1.497
"W01000033","Private Road - Publicly Accessible",0.298
"W01000034","Private Road - Restricted Access",5.347
"W01000034","Minor Road",5.226
"W01000034","Alley",0.172
"W01000034","Local Street",5.336
"W01000035","Local Street",10.025
"W01000035","A Road",3.955
"W01000035","Minor Road",33.781
"W01000035","Private Road - Publicly Accessible",0.265
"W01000035","B Road",3.687
"W01000035","Private Road - Restricted Access",35.163
"W01000036","A Road",0.177
"W01000036","Local Street",3.136
"W01000036","Alley",0.204
"W01000036","Private Road - Restricted Access",4.257
"W01000036","Minor Road",0.338
"W01000036","Pedestrianised Street",0.096
"W01000037","Local Street",3.159
"W01000037","Private Road - Publicly Accessible",0.776
"W01000037","Minor Road",2.756
"W01000037","Alley",0.515
"W01000037","Private Road - Restricted Access",0.259
"W01000038","B Road",10.421
"W01000038","Local Street",11.083
"W01000038","A Road",7.867
"W01000038","Private Road - Restricted Access",48.408
"W01000038","Minor Road",18.771
"W01000039","Private Road - Restricted Access",21.972
"W01000039","Minor Road",6.627
"W01000039","Local Street",7.028
"W01000039","B Road",2.676
"W01000040","Private Road - Restricted Access",25.562
"W01000040","A Road",10.974
"W01000040","Local Street",11.914
"W01000040","Minor Road",15.092
"W01000040","B Road",2.682
"W01000041","Private Road - Restricted Access",5.657
"W01000041","Local Street",4.567
"W01000041","Private Road - Publicly Accessible",0.118
"W01000041","B Road",3.71
"W01000041","Minor Road",1.651
"W01000042","Local Street",9.067
"W01000042","Alley",0.185
"W01000042","A Road",1.932
"W01000042","Private Road - Restricted Access",4.061
"W01000042","Minor Road",1.876
"W01000042","B Road",2.498
"W01000043","B Road",2.025
"W01000043","Private Road - Restricted Access",4.001
"W01000043","A Road",10.79
"W01000043","Local Street",3.22
"W01000043","Private Road - Publicly Accessible",0.052
"W01000043","Minor Road",2.211
"W01000044","Minor Road",3.447
"W01000044","B Road",0.955
"W01000044","A Road",4.188
"W01000044","Private Road - Restricted Access",3.297
"W01000044","Local Street",4.396
"W01000047","Minor Road",18.903
"W01000047","Local Street",5.179
"W01000047","B Road",4.745
"W01000047","A Road",11.181
"W01000047","Private Road - Restricted Access",32.48
"W01000048","A Road",9.196
"W01000048","Private Road - Restricted Access",14.091
"W01000048","Minor Road",3.751
"W01000048","Local Street",9.69
"W01000049","A Road",3.64
"W01000049","Private Road - Restricted Access",1.109
"W01000049","Private Road - Publicly Accessible",0.102
"W01000049","Minor Road",2.419
"W01000049","Local Street",4.512
"W01000049","Alley",0.099
"W01000050","Local Street",10.515
"W01000050","Minor Road",33.887
"W01000050","Private Road - Publicly Accessible",0.074
"W01000050","A Road",39.105
"W01000050","Private Road - Restricted Access",31.998
"W01000051","Alley",0.192
"W01000051","Local Street",7.833
"W01000051","Minor Road",2.774
"W01000051","Private Road - Restricted Access",3.717
"W01000051","A Road",3.166
"W01000051","B Road",1.182
"W01000052","Local Street",2.249
"W01000052","Alley",0.246
"W01000052","Private Road - Restricted Access",3.071
"W01000052","B Road",1.708
"W01000052","Minor Road",3.419
"W01000053","B Road",7.339
"W01000053","Private Road - Restricted Access",24.183
"W01000053","Local Street",1.735
"W01000053","Alley",0.08
"W01000053","A Road",6.58
"W01000053","Minor Road",28.629
"W01000054","Private Road - Publicly Accessible",0.137
"W01000054","A Road",2.313
"W01000054","Minor Road",15.762
"W01000054","Local Street",5.709
"W01000054","Private Road - Restricted Access",13.014
"W01000056","Local Street",9.15
"W01000056","Alley",0.886
"W01000056","Private Road - Restricted Access",8.607
"W01000056","Minor Road",1.804
"W01000056","A Road",6.866
"W01000056","Private Road - Publicly Accessible",0.473
"W01000057","Minor Road",79.914
"W01000057","Local Street",11.136
"W01000057","Private Road - Restricted Access",213.386
"W01000057","B Road",3.088
"W01000057","A Road",37.647
"W01000059","A Road",3.964
"W01000059","Private Road - Restricted Access",2.957
"W01000059","Minor Road",0.842
"W01000059","B Road",3.366
"W01000059","Pedestrianised Street",0.033
"W01000059","Alley",0.3
"W01000059","Local Street",8.274
"W01000060","A Road",33.075
"W01000060","Private Road - Restricted Access",204.387
"W01000060","Local Street",5.629
"W01000060","Minor Road",59.502
"W01000060","B Road",0.212
"W01000061","A Road",3.092
"W01000061","Private Road - Restricted Access",6.675
"W01000061","B Road",1.186
"W01000061","Local Street",7.829
"W01000061","Alley",0.406
"W01000061","Minor Road",6.42
"W01000061","Private Road - Publicly Accessible",0.067
"W01000062","A Road",1.287
"W01000062","Pedestrianised Street",0.668
"W01000062","B Road",0.207
"W01000062","Minor Road",2.275
"W01000062","Alley",0.346
"W01000062","Private Road - Publicly Accessible",0.214
"W01000062","Local Street",2.838
"W01000062","Private Road - Restricted Access",1.597
"W01000063","Alley",0.34
"W01000063","Minor Road",19.737
"W01000063","Local Street",7.796
"W01000063","Private Road - Restricted Access",20.361
"W01000063","A Road",0.414
"W01000064","Minor Road",1.189
"W01000064","Local Street",4.216
"W01000064","Private Road - Restricted Access",3.309
"W01000064","Alley",1.103
"W01000064","A Road",4.394
"W01000064","Private Road - Publicly Accessible",0.486
"W01000065","Local Street",6.162
"W01000065","A Road",0.843
"W01000065","Alley",0.701
"W01000065","Private Road - Publicly Accessible",0.079
"W01000065","Private Road - Restricted Access",1.935
"W01000066","Private Road - Restricted Access",39.095
"W01000066","A Road",15.031
"W01000066","B Road",1.358
"W01000066","Local Street",7.164
"W01000066","Minor Road",52.669
"W01000067","Private Road - Restricted Access",28.815
"W01000067","B Road",0.165
"W01000067","Alley",0.092
"W01000067","Local Street",10.678
"W01000067","Minor Road",19.764
"W01000067","Private Road - Publicly Accessible",0.105
"W01000067","A Road",17.521
"W01000068","Private Road - Publicly Accessible",0.017
"W01000068","A Road",1.213
"W01000068","Local Street",7.383
"W01000068","Alley",0.07
"W01000068","Minor Road",9.839
"W01000068","Private Road - Restricted Access",2.9
"W01000069","A Road",7.507
"W01000069","Private Road - Restricted Access",28.141
"W01000069","Private Road - Publicly Accessible",1.308
"W01000069","Minor Road",11.508
"W01000069","Local Street",13.736
"W01000070","Minor Road",66.418
"W01000070","Private Road - Restricted Access",35.639
"W01000070","A Road",10.725
"W01000070","B Road",15.742
"W01000070","Local Street",4.617
"W01000071","Alley",0.127
"W01000071","Minor Road",5.802
"W01000071","Private Road - Restricted Access",2.718
"W01000071","Local Street",7.778
"W01000071","A Road",0.902
"W01000071","B Road",0.097
"W01000072","Minor Road",2.034
"W01000072","A Road",1.552
"W01000072","Private Road - Restricted Access",1.738
"W01000072","Alley",0.046
"W01000072","Local Street",5.97
"W01000073","Local Street",7.087
"W01000073","A Road",9.007
"W01000073","Private Road - Restricted Access",27.139
"W01000073","Minor Road",24.019
"W01000074","Private Road - Publicly Accessible",0.456
"W01000074","Private Road - Restricted Access",38.283
"W01000074","A Road",15.36
"W01000074","Local Street",10.391
"W01000074","B Road",6.149
"W01000074","Minor Road",20.315
"W01000075","Private Road - Restricted Access",1.015
"W01000075","A Road",0.791
"W01000075","Minor Road",4.112
"W01000075","Local Street",3.258
"W01000075","Private Road - Publicly Accessible",0.33
"W01000075","Alley",0.22
"W01000076","Alley",0.496
"W01000076","Minor Road",2.98
"W01000076","Local Street",2.717
"W01000076","Private Road - Publicly Accessible",0.535
"W01000076","Private Road - Restricted Access",0.66
"W01000076","A Road",1.17
"W01000077","Private Road - Restricted Access",0.717
"W01000077","Alley",0.453
"W01000077","Minor Road",0.947
"W01000077","Local Street",3.283
"W01000077","A Road",1.299
"W01000077","Private Road - Publicly Accessible",0.073
"W01000078","Minor Road",22.674
"W01000078","B Road",9.028
"W01000078","Alley",0.052
"W01000078","Private Road - Restricted Access",29.403
"W01000078","A Road",6.198
"W01000078","Local Street",11.422
"W01000079","A Road",5.079
"W01000079","Minor Road",39.726
"W01000079","Private Road - Publicly Accessible",0.046
"W01000079","Local Street",5.273
"W01000079","Private Road - Restricted Access",40.789
"W01000080","Private Road - Publicly Accessible",0.445
"W01000080","A Road",7.684
"W01000080","Minor Road",11.754
"W01000080","Local Street",12.887
"W01000080","B Road",1.917
"W01000080","Private Road - Restricted Access",28.109
"W01000081","Alley",0.114
"W01000081","Minor Road",4.048
"W01000081","Local Street",12.93
"W01000081","Private Road - Publicly Accessible",0.033
"W01000081","A Road",13.997
"W01000081","Private Road - Restricted Access",11.752
"W01000082","B Road",24.423
"W01000082","Private Road - Publicly Accessible",1.2
"W01000082","Private Road - Restricted Access",78.251
"W01000082","Minor Road",38.547
"W01000082","Local Street",9.494
"W01000082","A Road",23.927
"W01000083","B Road",33.076
"W01000083","Private Road - Restricted Access",152.929
"W01000083","Private Road - Publicly Accessible",1.112
"W01000083","Minor Road",75.344
"W01000083","A Road",29.894
"W01000083","Local Street",27.068
"W01000084","Local Street",10.392
"W01000084","Minor Road",39.096
"W01000084","Private Road - Restricted Access",27.404
"W01000084","B Road",5.145
"W01000085","Private Road - Publicly Accessible",0.177
"W01000085","Private Road - Restricted Access",59.711
"W01000085","Alley",0.073
"W01000085","Minor Road",49.117
"W01000085","A Road",24.068
"W01000085","Local Street",11.812
"W01000086","Private Road - Restricted Access",53.663
"W01000086","Minor Road",59.063
"W01000086","Local Street",9.401
"W01000086","Alley",0.638
"W01000086","A Road",15.326
"W01000086","B Road",8.589
"W01000087","Minor Road",5.832
"W01000087","Local Street",3.114
"W01000087","A Road",2.311
"W01000087","Alley",0.521
"W01000087","Private Road - Restricted Access",3.922
"W01000088","Private Road - Restricted Access",27.768
"W01000088","Local Street",5.862
"W01000088","Alley",0.056
"W01000088","Minor Road",28.566
"W01000088","A Road",4.077
"W01000088","Private Road - Publicly Accessible",0.628
"W01000089","A Road",11.496
"W01000089","Minor Road",71.367
"W01000089","Alley",0.059
"W01000089","B Road",10.188
"W01000089","Local Street",16.716
"W01000089","Private Road - Restricted Access",56.871
"W01000090","Private Road - Publicly Accessible",0.108
"W01000090","Minor Road",0.64
"W01000090","Private Road - Restricted Access",0.465
"W01000090","Alley",0.057
"W01000090","Local Street",3.645
"W01000091","Private Road - Restricted Access",0.352
"W01000091","Alley",0.086
"W01000091","Local Street",3.948
"W01000091","A Road",1.324
"W01000092","Local Street",5.102
"W01000092","A Road",2.839
"W01000092","Private Road - Publicly Accessible",0.836
"W01000092","Private Road - Restricted Access",2.091
"W01000092","Minor Road",2.278
"W01000092","Alley",0.241
"W01000093","Private Road - Publicly Accessible",0.044
"W01000093","Private Road - Restricted Access",4.357
"W01000093","Minor Road",1.966
"W01000093","Alley",1.111
"W01000093","A Road",3.843
"W01000093","B Road",4.3
"W01000093","Local Street",7.249
"W01000094","Minor Road",9.324
"W01000094","A Road",0.028
"W01000094","Private Road - Restricted Access",8.364
"W01000094","Local Street",8.439
"W01000094","Alley",0.045
"W01000094","B Road",7.289
"W01000095","Minor Road",6.963
"W01000095","Local Street",4.613
"W01000095","B Road",2.95
"W01000095","Private Road - Restricted Access",5.708
"W01000095","A Road",2.748
"W01000096","Local Street",3.547
"W01000096","Alley",0.248
"W01000096","Minor Road",2.498
"W01000096","Private Road - Restricted Access",0.134
"W01000096","A Road",0.587
"W01000097","Local Street",2.902
"W01000097","A Road",1.838
"W01000097","Alley",0.282
"W01000097","Private Road - Restricted Access",0.512
"W01000097","Minor Road",2.558
"W01000098","A Road",2.429
"W01000098","Local Street",5.818
"W01000098","Private Road - Restricted Access",4.661
"W01000098","Alley",0.456
"W01000098","Pedestrianised Street",0.101
"W01000099","A Road",6.052
"W01000099","Alley",0.153
"W01000099","B Road",2.463
"W01000099","Local Street",4.008
"W01000099","Minor Road",24.634
"W01000099","Private Road - Restricted Access",21.637
"W01000100","A Road",8.176
"W01000100","Local Street",7.489
"W01000100","Minor Road",11.7
"W01000100","Private Road - Publicly Accessible",0.093
"W01000100","Private Road - Restricted Access",31.018
"W01000100","B Road",6.549
"W01000101","Minor Road",2.048
"W01000101","Private Road - Restricted Access",15.587
"W01000101","Alley",0.397
"W01000101","A Road",7.441
"W01000101","Private Road - Publicly Accessible",0.093
"W01000101","Local Street",10.881
"W01000102","Private Road - Publicly Accessible",1.935
"W01000102","Private Road - Restricted Access",4.41
"W01000102","A Road",8.589
"W01000102","Local Street",4.378
"W01000102","Minor Road",6.824
"W01000103","Private Road - Restricted Access",23.202
"W01000103","B Road",0.837
"W01000103","Minor Road",23.089
"W01000103","A Road",19.455
"W01000103","Local Street",8.126
"W01000104","Minor Road",11.576
"W01000104","Alley",1.206
"W01000104","A Road",3.105
"W01000104","Local Street",5.341
"W01000104","Private Road - Restricted Access",8.179
"W01000104","B Road",1.694
"W01000104","Private Road - Publicly Accessible",0.075
"W01000105","Private Road - Restricted Access",6.375
"W01000105","Alley",0.552
"W01000105","Minor Road",0.065
"W01000105","A Road",2.331
"W01000105","Private Road - Publicly Accessible",0.043
"W01000105","Local Street",6.331
"W01000106","Minor Road",7.301
"W01000106","Private Road - Publicly Accessible",0.423
"W01000106","A Road",5.72
"W01000106","Local Street",9.666
"W01000106","Alley",0.06
"W01000106","Private Road - Restricted Access",21.115
"W01000107","Alley",0.303
"W01000107","Minor Road",13.265
"W01000107","Private Road - Publicly Accessible",0.404
"W01000107","Private Road - Restricted Access",56.454
"W01000107","A Road",37.053
"W01000107","B Road",1.41
"W01000107","Local Street",6.626
"W01000108","A Road",6.255
"W01000108","Local Street",3.654
"W01000108","Alley",0.272
"W01000108","Private Road - Restricted Access",5.055
"W01000108","Minor Road",10.609
"W01000109","Private Road - Restricted Access",0.907
"W01000109","Alley",1.25
"W01000109","Local Street",6.433
"W01000109","Minor Road",2.702
"W01000110","Private Road - Restricted Access",0.326
"W01000110","A Road",0.83
"W01000110","Alley",0.147
"W01000110","Private Road - Publicly Accessible",0.665
"W01000110","Minor Road",0.027
"W01000110","Local Street",5.491
"W01000111","A Road",2.94
"W01000111","Minor Road",7.314
"W01000111","B Road",0.7
"W01000111","Alley",0.374
"W01000111","Local Street",5.454
"W01000111","Private Road - Restricted Access",3.367
"W01000111","Pedestrianised Street",0.405
"W01000112","Private Road - Publicly Accessible",0.636
"W01000112","Private Road - Restricted Access",23.87
"W01000112","B Road",2.472
"W01000112","Alley",0.082
"W01000112","Minor Road",14.999
"W01000112","Local Street",4.436
"W01000113","A Road",9.282
"W01000113","Private Road - Restricted Access",17.022
"W01000113","Local Street",6.38
"W01000113","Alley",1.172
"W01000113","B Road",17.519
"W01000113","Private Road - Publicly Accessible",0.285
"W01000113","Minor Road",8.241
"W01000114","B Road",11.188
"W01000114","A Road",37.935
"W01000114","Private Road - Restricted Access",101.636
"W01000114","Alley",0.283
"W01000114","Private Road - Publicly Accessible",0.457
"W01000114","Local Street",16.839
"W01000114","Minor Road",49.979
"W01000115","Local Street",6.247
"W01000115","Private Road - Restricted Access",20.227
"W01000115","A Road",4.557
"W01000115","Minor Road",17.748
"W01000115","B Road",5.167
"W01000115","Alley",0.462
"W01000116","Minor Road",15.069
"W01000116","Private Road - Restricted Access",15.577
"W01000116","Private Road - Publicly Accessible",0.204
"W01000116","A Road",5.049
"W01000116","Alley",0.317
"W01000116","Local Street",8.007
"W01000117","Private Road - Restricted Access",2.669
"W01000117","A Road",1.534
"W01000117","Minor Road",3.861
"W01000117","Alley",0.313
"W01000117","Local Street",5.572
"W01000118","Private Road - Restricted Access",45.531
"W01000118","Minor Road",10.723
"W01000118","Private Road - Publicly Accessible",1.427
"W01000118","B Road",3.123
"W01000118","A Road",17.075
"W01000118","Local Street",6.973
"W01000119","Minor Road",14.834
"W01000119","Local Street",6.597
"W01000119","B Road",1.906
"W01000119","A Road",7.031
"W01000119","Private Road - Publicly Accessible",0.168
"W01000119","Alley",0.628
"W01000119","Private Road - Restricted Access",8.898
"W01000121","Minor Road",19.456
"W01000121","Local Street",11.591
"W01000121","B Road",4.355
"W01000121","A Road",40.327
"W01000121","Alley",0.085
"W01000121","Private Road - Restricted Access",150.552
"W01000121","Private Road - Publicly Accessible",0.212
"W01000122","Private Road - Publicly Accessible",0.793
"W01000122","Minor Road",137.063
"W01000122","A Road",14.349
"W01000122","B Road",27.39
"W01000122","Private Road - Restricted Access",41.521
"W01000122","Local Street",12.011
"W01000123","Alley",0.1
"W01000123","Private Road - Restricted Access",4.447
"W01000123","Minor Road",9.423
"W01000123","Local Street",6.521
"W01000123","A Road",7.985
"W01000123","Private Road - Publicly Accessible",2.229
"W01000124","B Road",9.841
"W01000124","Local Street",16.796
"W01000124","Minor Road",44.279
"W01000124","Private Road - Restricted Access",40.097
"W01000125","Minor Road",7.313
"W01000125","A Road",10.734
"W01000125","Private Road - Restricted Access",6.135
"W01000125","Alley",0.087
"W01000125","Local Street",3.352
"W01000126","A Road",0.601
"W01000126","Local Street",6.316
"W01000126","Minor Road",2.705
"W01000126","Private Road - Restricted Access",0.137
"W01000126","Alley",1.154
"W01000127","Local Street",4.419
"W01000127","Minor Road",0.953
"W01000127","Private Road - Restricted Access",0.395
"W01000127","A Road",8.746
"W01000127","Alley",0.254
"W01000128","Local Street",5.764
"W01000128","Alley",1.202
"W01000128","Minor Road",0.684
"W01000128","A Road",7.689
"W01000128","Private Road - Restricted Access",0.156
"W01000129","Minor Road",1.343
"W01000129","Private Road - Restricted Access",2.752
"W01000129","Local Street",8.318
"W01000129","A Road",12.41
"W01000130","Local Street",4.886
"W01000130","A Road",2.202
"W01000130","Private Road - Restricted Access",2.564
"W01000130","Minor Road",6.185
"W01000130","Alley",0.502
"W01000130","B Road",0.961
"W01000131","Private Road - Restricted Access",3.037
"W01000131","B Road",2.54
"W01000131","Minor Road",4.396
"W01000131","Local Street",4.476
"W01000131","Alley",0.042
"W01000132","Private Road - Restricted Access",1.255
"W01000132","Local Street",3.715
"W01000132","A Road",0.642
"W01000132","Minor Road",1.089
"W01000132","Alley",0.495
"W01000132","B Road",1.339
"W01000133","Minor Road",4.741
"W01000133","Alley",0.316
"W01000133","B Road",2.141
"W01000133","Private Road - Restricted Access",5.076
"W01000133","Local Street",6.647
"W01000133","A Road",1.757
"W01000134","B Road",2.81
"W01000134","Local Street",7.009
"W01000134","Private Road - Restricted Access",4.922
"W01000134","Private Road - Publicly Accessible",0.44
"W01000134","A Road",5.976
"W01000134","Alley",0.113
"W01000134","Minor Road",3.906
"W01000135","A Road",2.017
"W01000135","Private Road - Publicly Accessible",0.427
"W01000135","Private Road - Restricted Access",3.516
"W01000135","Local Street",7.847
"W01000135","Alley",0.081
"W01000135","Minor Road",2.292
"W01000135","B Road",0.937
"W01000136","Minor Road",0.055
"W01000136","A Road",1.415
"W01000136","B Road",1.093
"W01000136","Private Road - Publicly Accessible",0.309
"W01000136","Alley",0.254
"W01000136","Private Road - Restricted Access",1.9
"W01000136","Local Street",7.367
"W01000137","Private Road - Publicly Accessible",0.066
"W01000137","B Road",10.644
"W01000137","A Road",16.648
"W01000137","Local Street",7.976
"W01000137","Minor Road",78.893
"W01000137","Private Road - Restricted Access",37.647
"W01000138","Minor Road",2.969
"W01000138","B Road",1.994
"W01000138","Private Road - Restricted Access",1.6
"W01000138","Alley",0.185
"W01000138","Local Street",5.596
"W01000138","A Road",0.18
"W01000139","Local Street",5.73
"W01000139","Private Road - Restricted Access",0.224
"W01000139","Minor Road",1.852
"W01000139","A Road",10.1
"W01000139","Alley",0.813
"W01000139","B Road",0.196
"W01000140","A Road",15.042
"W01000140","Local Street",4.953
"W01000140","Alley",0.082
"W01000140","Private Road - Restricted Access",13.596
"W01000140","Minor Road",17.141
"W01000140","B Road",1.871
"W01000141","Local Street",6.846
"W01000141","Minor Road",1.304
"W01000141","Private Road - Restricted Access",1.827
"W01000141","A Road",1.121
"W01000142","A Road",2.895
"W01000142","Private Road - Restricted Access",6.408
"W01000142","Minor Road",4.306
"W01000142","Local Street",6.98
"W01000142","Alley",0.071
"W01000143","Local Street",4.226
"W01000143","A Road",0.073
"W01000143","Alley",1.783
"W01000143","Private Road - Restricted Access",0.169
"W01000143","Minor Road",0.175
"W01000144","A Road",6.567
"W01000144","Private Road - Publicly Accessible",0.102
"W01000144","Local Street",5.172
"W01000144","Alley",0.377
"W01000144","Private Road - Restricted Access",1.197
"W01000144","Minor Road",2.153
"W01000144","B Road",0.984
"W01000144","Pedestrianised Street",0.103
"W01000145","Local Street",4.144
"W01000145","Minor Road",2.704
"W01000145","Private Road - Restricted Access",2.123
"W01000145","Alley",0.868
"W01000145","A Road",0.754
"W01000146","Local Street",6.797
"W01000146","Alley",0.595
"W01000146","Minor Road",5.783
"W01000146","A Road",1.497
"W01000146","Private Road - Restricted Access",1.417
"W01000147","A Road",1.363
"W01000147","Local Street",6.514
"W01000147","Private Road - Restricted Access",3.218
"W01000147","Minor Road",10.641
"W01000147","Alley",0.967
"W01000148","Private Road - Restricted Access",2.541
"W01000148","Minor Road",1.937
"W01000148","Private Road - Publicly Accessible",0.077
"W01000148","Alley",0.034
"W01000148","Local Street",3.29
"W01000148","A Road",2.081
"W01000149","Minor Road",0.546
"W01000149","Alley",0.051
"W01000149","Private Road - Restricted Access",4.262
"W01000149","Local Street",9.876
"W01000149","A Road",1.289
"W01000150","Private Road - Restricted Access",0.752
"W01000150","Local Street",10.623
"W01000150","Minor Road",2.475
"W01000151","Minor Road",0.817
"W01000151","Private Road - Restricted Access",1.777
"W01000151","Local Street",7.959
"W01000151","A Road",0.524
"W01000152","Local Street",6.341
"W01000152","Private Road - Restricted Access",0.879
"W01000152","A Road",0.736
"W01000153","A Road",19.325
"W01000153","Local Street",6.077
"W01000153","Private Road - Restricted Access",10.28
"W01000153","Minor Road",11.991
"W01000154","Private Road - Publicly Accessible",0.62
"W01000154","Alley",0.141
"W01000154","Minor Road",1.623
"W01000154","A Road",3.584
"W01000154","Private Road - Restricted Access",0.191
"W01000154","Local Street",6.186
"W01000155","Local Street",5.308
"W01000155","Private Road - Restricted Access",0.399
"W01000155","Minor Road",1.862
"W01000155","A Road",0.542
"W01000155","Alley",0.145
"W01000155","B Road",1.369
"W01000156","Minor Road",2.578
